t,ts,demand,R,R_target,u_hat,spread,rho_t,violated,viol_rate,z
15,2023-10-22 21:45:00,70051.39,90310.24611322474,90709.27885841837,73338.4375,13196.453125,0.0,0,0.0,0.686751
16,2023-10-22 22:00:00,69470.08,89099.21775916802,86273.48493303571,70303.328125,12132.3671875,0.0,0,0.0,0.66500247
17,2023-10-22 22:15:00,62299.8,87368.47110967015,83330.06226084183,67938.328125,11692.9453125,0.0,0,0.0,0.39674202
18,2023-10-22 22:30:00,56759.02,83921.63039858032,75879.00207270408,62014.484375,10532.734375,0.0,0,0.0,0.18944563
19,2023-10-22 22:45:00,50647.94,79068.13670311337,67743.31808035714,55045.3125,9646.546875,0.0,0,0.0,0.039187178
20,2023-10-22 23:00:00,48342.77,73338.64794425206,59969.840840242345,48607.83984375,8631.59765625,0.0,0,0.0,0.12543021
21,2023-10-22 23:15:00,45557.39,67869.85782197771,55109.34753667092,44849.60546875,7794.22265625,0.0,0,0.0,0.22963916
22,2023-10-22 23:30:00,40757.29,63042.53656036527,51778.78694993623,42106.4453125,7347.98046875,0.0,0,0.0,0.4092246
23,2023-10-22 23:45:00,33385.35,58573.0399258016,48144.21444515306,38628.921875,7228.671875,0.0,0,0.0,0.68502975
24,2023-10-23 00:00:00,32722.95,53984.49548234045,43277.891780931124,33644.40234375,7318.46484375,0.0,0,0.0,0.7098121
25,2023-10-23 00:15:00,29017.33,49496.16717006816,39023.40110809949,29473.87890625,7254.67578125,0.0,0,0.0,0.8484498
26,2023-10-23 00:30:00,24838.97,45269.721198336614,35408.01393096301,25677.705078125,7392.017578125,0.0,0,0.0,1.0047742
27,2023-10-23 00:45:00,21225.73,41434.82476868256,32486.733099489797,22282.734375,7751.875,0.0,0,0.0,1.1399558
28,2023-10-23 01:00:00,19596.3,38065.60750190113,30204.100546077807,19460.03515625,8162.158203125,0.0,0,0.0,1.2009174
29,2023-10-23 01:15:00,16295.19,35187.10371713118,28470.594886001276,17327.703125,8465.142578125,0.0,0,0.0,1.3244213
30,2023-10-23 01:30:00,13801.75,32756.750031440166,27085.924764827807,15589.0234375,8734.080078125,0.0,0,0.0,1.4177079
31,2023-10-23 01:45:00,10232.07,30715.388829406074,25952.21269132653,14171.12109375,8949.9765625,0.0,0,0.0,1.5512599
32,2023-10-23 02:00:00,9528.72,29004.156340341906,25011.28053252551,12947.00390625,9165.109375,0.0,0,0.0,1.5775743
33,2023-10-23 02:15:00,8294.99,27573.383603178747,24234.913883131376,11986.1484375,9305.263671875,0.0,0,0.0,1.6237314
34,2023-10-23 02:30:00,7425.69,26379.670696571426,23594.340581154338,11207.77734375,9409.947265625,0.0,0,0.0,1.6562544
35,2023-10-23 02:45:00,6830.6,25379.635172389535,23046.21894929847,10573.546875,9475.36328125,0.0,0,0.0,1.6785184
36,2023-10-23 03:00:00,6810.18,24534.11146537931,22561.222815688776,10064.4609375,9493.6640625,0.0,0,0.0,1.6792825
37,2023-10-23 03:15:00,7347.84,23811.593531186434,22125.718351403062,9687.265625,9449.3671875,0.0,0,0.0,1.659167
38,2023-10-23 03:30:00,6189.25,23193.350145778208,21750.78224649235,9458.5703125,9338.26953125,0.0,0,0.0,1.7025132
39,2023-10-23 03:45:00,4610.87,22679.515992510307,21480.569634885203,9319.4453125,9238.68359375,0.0,0,0.0,1.7615649
40,2023-10-23 04:00:00,4977.83,22275.531048870733,21332.899513711734,9229.9609375,9194.48046875,0.0,0,0.0,1.747836
41,2023-10-23 04:15:00,5754.88,21992.727191001602,21332.851522640307,9242.7265625,9184.74609375,0.0,0,0.0,1.7187643
42,2023-10-23 04:30:00,7578.7,21862.669229810814,21559.20065369898,9383.828125,9249.5078125,0.0,0,0.0,1.65053
43,2023-10-23 04:45:00,7745.86,21951.971932646906,22160.344905931124,9742.7734375,9433.50390625,0.0,0,0.0,1.644276
44,2023-10-23 05:00:00,8819.53,22341.687575429365,23251.024075255104,10298.0625,9840.234375,0.0,0,0.0,1.6041069
45,2023-10-23 05:15:00,10660.38,23128.10126054928,24963.066525829083,11157.25390625,10488.13671875,0.0,0,0.0,1.5352356
46,2023-10-23 05:30:00,15822.39,24437.223074667658,27491.840640943876,12478.51953125,11405.46875,0.0,0,0.0,1.34211
47,2023-10-23 05:45:00,15583.06,26611.090254228457,31683.44700653699,14907.02734375,12744.876953125,0.0,0,0.0,1.3510642
48,2023-10-23 06:00:00,17368.97,29681.348300329177,36845.283741230865,17993.3359375,14321.634765625,0.0,0,0.0,1.2842481
49,2023-10-23 06:15:00,21271.91,33454.138020609884,42257.31403459821,21769.763671875,15564.185546875,0.0,0,0.0,1.138228
50,2023-10-23 06:30:00,31016.57,37613.895544194136,47319.9964325574,26527.490234375,15795.857421875,0.0,0,0.0,0.7736526
51,2023-10-23 06:45:00,36176.2,42447.29569869737,53725.22939253827,34204.5234375,14829.68359375,0.0,0,0.0,0.5806162
52,2023-10-23 07:00:00,41468.57,48045.58997697081,61108.27662627551,43232.953125,13579.703125,0.0,0,0.0,0.38261354
53,2023-10-23 07:15:00,46595.7,53637.47402900073,66685.20348373725,50635.4140625,12192.86328125,0.0,0,0.0,0.19079308
54,2023-10-23 07:30:00,49022.17,58185.58445502627,68797.84211575254,54893.02734375,10563.34765625,0.0,0,0.0,0.10001184
55,2023-10-23 07:45:00,53878.33,61421.73627094185,68972.7571747449,56581.25,9413.703125,0.0,0,0.0,0.081670776
56,2023-10-23 08:00:00,56980.13,63949.693068230714,69848.25892857142,58039.0,8971.375,0.0,0,0.0,0.19771796
57,2023-10-23 08:15:00,56595.36,66108.53356134568,71145.8280452806,59544.0859375,8813.7265625,0.0,0,0.0,0.18332264
58,2023-10-23 08:30:00,61386.83,67757.36802419198,71604.6484375,60187.140625,8673.765625,0.0,0,0.0,0.3625851
59,2023-10-23 08:45:00,63539.85,69465.16770940887,73450.03364158163,61766.6484375,8875.75,0.0,0,0.0,0.44313583
60,2023-10-23 09:00:00,64964.44,71304.15573363977,75595.12779017857,63585.2421875,9123.7890625,0.0,0,0.0,0.4964338
61,2023-10-23 09:15:00,63742.97,73208.68593079911,77652.58972417092,65263.33984375,9411.98828125,0.0,0,0.0,0.45073503
62,2023-10-23 09:30:00,70742.74,74858.94445321754,78709.54767219388,65995.046875,9659.078125,0.0,0,0.0,0.71261644
63,2023-10-23 09:45:00,73270.89,77076.59132292829,82251.10068558673,68579.25,10386.3671875,0.0,0,0.0,0.8072017
64,2023-10-23 10:00:00,72535.55,79688.06249110082,85781.49521683673,71335.140625,10974.75,0.0,0,0.0,0.7796904
65,2023-10-23 10:15:00,71316.55,82198.84533815832,88057.33864795919,73040.3359375,11408.265625,0.0,0,0.0,0.7340841
